movie_id,genres,runtime_minutes,start_year,primary_title,numvotes,averagerating,rating_category
tt0471042,Action,104.0,2011,Tower Heist,125102,6.2,Average
tt0472181,Adventure,103.0,2011,The Smurfs,77577,5.5,Average
tt0472399,Action,93.0,2011,The Mechanic,141254,6.6,Average
tt0473075,Action,116.0,2010,Prince of Persia: The Sands of Time,254975,6.6,Average
tt0473088,Comedy,95.0,2011,Stan,27,8.8,Good
tt0473122,Comedy,95.0,2011,Bamboo Shark,55,6.4,Average
tt0473343,Drama,91.0,2010,Cielito lindo,35,6.9,Average
tt0475239,Action,95.0,2012,Clutch,23,7.9,Good
tt0475290,Comedy,106.0,2016,"Hail, Caesar!",111422,6.3,Average
tt0476023,Comedy,104.0,2010,Stiffs,64,7.3,Good
tt0477080,Action,98.0,2010,Unstoppable,173019,6.8,Average
tt0477302,Adventure,129.0,2011,Extremely Loud & Incredibly Close,93164,6.9,Average
tt0478304,Drama,139.0,2011,The Tree of Life,156266,6.8,Average
tt0478660,Fantasy,90.0,2010,El horror de la dama del lago,10,6.2,Average
tt0478970,Action,117.0,2015,Ant-Man,501213,7.3,Good
tt0479051,Drama,60.0,2010,The Greater Meaning of Water,40,6.5,Average
tt0479204,Horror,98.0,2010,Perfect Life,399,4.3,Average
tt0479997,Action,95.0,2011,Season of the Witch,85777,5.4,Average
tt0480239,Drama,97.0,2011,Atlas Shrugged: Part I,12524,5.7,Average
tt0480255,Action,97.0,2010,The Losers,83876,6.4,Average
tt0480687,Comedy,105.0,2011,Hall Pass,113775,5.9,Average
tt0481470,Biography,77.0,2013,Felix Austria!,12,7.5,Good
tt0481499,Action,98.0,2013,The Croods,176699,7.2,Good
tt0482459,Drama,119.0,2010,Bandage,402,6.8,Average
tt0482461,Comedy,95.0,2010,Barry Munday,3846,5.9,Average
tt0483586,Family,115.0,2010,Chasing 3000,759,6.5,Average
tt0483740,Comedy,95.0,2011,Monkey Man,28,7.6,Good
tt0484828,Adventure,99.0,2011,La daga de Rasputín,186,3.0,Bad
tt0485061,Drama,92.0,2013,U Want Me 2 Kill Him?,2288,6.3,Average
tt0485521,Comedy,100.0,2012,Sushi in Suhl,336,6.3,Average
tt0485985,Action,125.0,2012,Red Tails,31815,5.9,Average
tt0486622,Drama,94.0,2012,Making Change,59,6.7,Average
tt0490075,Crime,84.0,2013,Aftermath,271,5.1,Average
tt0490199,Comedy,82.0,2010,PrimeMates,63,6.7,Average
tt0490215,Adventure,161.0,2016,Silence,85242,7.2,Good
tt0490236,Horror,95.0,2010,The Invited,240,4.2,Average
tt0490847,Action,100.0,2011,Double Tap,52,5.2,Average
tt0491152,Comedy,112.0,2011,Something Borrowed,54314,5.9,Average
tt0491175,Comedy,105.0,2017,Suburbicon,31294,5.6,Average
tt0491203,Drama,105.0,2017,Tulip Fever,15037,6.2,Average
tt0492389,Comedy,92.0,2010,Furry Vengeance,14700,3.8,Bad
tt0493076,Biography,90.0,2016,Nina,2246,5.3,Average
tt0493405,Action,100.0,2017,CHIPS,37029,6.0,Average
tt0493949,Adventure,103.0,2010,Ramona and Beezus,16086,6.6,Average
tt0494229,Drama,100.0,2010,Good Sharma,22,7.3,Good
tt0495024,Horror,107.0,2012,Bad Blood,78,5.6,Average
tt0495037,Crime,85.0,2010,O Inimigo Sem Rosto,12,6.2,Average
tt0496375,Action,85.0,2013,Prisoners of the Sun,1106,3.7,Bad
tt0498351,Animation,77.0,2014,The Hero of Color City,431,4.0,Bad
tt0498381,Drama,102.0,2017,Rings,34151,4.5,Average
tt0499608,Drama,95.0,2010,Tranced,31,5.6,Average
tt0756727,Biography,116.0,2010,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),1332,7.7,Good
tt0758752,Comedy,112.0,2010,Love & Other Drugs,167680,6.7,Average
tt0762138,Comedy,90.0,2013,Syrup,10228,5.7,Average
tt0763831,Comedy,91.0,2012,A Thousand Words,36387,5.9,Average
tt0765446,Adventure,89.0,2013,Escape from Planet Earth,23298,5.9,Average
tt0765465,Animation,92.0,2019,The Legend of Secret Pass,331,4.9,Average
tt0765485,Adventure,78.0,2010,Waste of Space,54,5.2,Average
tt0768187,Family,78.0,2010,Me and My Umbrella,111,6.1,Average
tt0768222,Horror,101.0,2013,Night of the Templar,5392,5.9,Average
tt0770703,Comedy,106.0,2011,What's Your Number?,67922,6.1,Average
tt0770728,Drama,90.0,2011,California Indian,20,6.0,Average
tt0770778,Drama,83.0,2010,King of the Avenue,449,4.0,Bad
tt0770802,Documentary,102.0,2011,Samsara,29725,8.5,Good
tt0770828,Action,143.0,2013,Man of Steel,647288,7.1,Good
tt0772175,Action,100.0,2014,Jersey Justice,115,7.2,Good
tt0772179,Comedy,90.0,2011,Kill,95,4.5,Average
tt0774519,Drama,123.0,2010,The Chosen Heaven,19,6.3,Average
tt0775440,Action,98.0,2016,Cell,21968,4.3,Average
tt0775461,Family,100.0,2010,The Rain Fairy,70,5.4,Average
tt0775489,Animation,80.0,2010,The Illusionist,31734,7.5,Good
tt0775543,Drama,90.0,2010,Night Catches Us,1390,6.3,Average
tt0780504,Crime,100.0,2011,Drive,521495,7.8,Good
tt0780548,Biography,110.0,2014,Kid Cannabis,8924,6.4,Average
tt0780625,Comedy,90.0,2013,Santorini Blue,124,4.6,Average
tt0780645,Action,86.0,2011,War of the Dead,2378,4.1,Average
tt0780653,Drama,103.0,2010,The Wolfman,97873,5.8,Average
tt0781441,Thriller,80.0,2011,Escalade,43,4.5,Average
tt0782047,Thriller,95.0,2010,Irreversi,85,5.6,Average
tt0787442,Drama,102.0,2012,The Attack,3733,7.1,Good
tt0787474,Adventure,96.0,2014,The Boxtrolls,50763,6.8,Average
tt0787524,Biography,108.0,2015,The Man Who Knew Infinity,43575,7.2,Good
tt0790628,Adventure,100.0,2013,The Incredible Burt Wonderstone,67549,5.9,Average
tt0790636,Biography,117.0,2013,Dallas Buyers Club,402462,8.0,Good
tt0790653,Comedy,92.0,2012,Elliot Loves,463,6.2,Average
tt0790663,Biography,103.0,2010,The First Grader,4052,7.5,Good
tt0790724,Action,130.0,2012,Jack Reacher,284547,7.0,Average
tt0790736,Action,96.0,2013,R.I.P.D.,109078,5.6,Average
tt0790770,Biography,100.0,2015,Miles Ahead,8498,6.4,Average
tt0790788,Thriller,115.0,2012,The Yellow Wallpaper,1695,6.6,Average
tt0795459,Documentary,95.0,2011,Wilde Salomé,748,6.8,Average
tt0795461,Comedy,86.0,2013,Scary Movie 5,60139,3.5,Bad
tt0798817,Drama,91.0,2010,13,38418,6.1,Average
tt0800054,Comedy,88.0,2010,The Guardians,68,7.8,Good
tt0800092,Biography,119.0,2010,Ironmen,6,4.3,Average
tt0800320,Action,106.0,2010,Clash of the Titans,256176,5.8,Average
tt0800325,Biography,107.0,2019,The Dirt,26876,7.0,Average
tt0800353,Drama,83.0,2010,Nemesis,67,6.6,Average
tt0800369,Action,115.0,2011,Thor,683264,7.0,Average
tt0803061,Biography,92.0,2011,Red Dog,15357,7.4,Good
tt0803096,Action,123.0,2016,Warcraft,225557,6.9,Average
tt0804463,Biography,114.0,2013,Devil's Knot,18716,6.1,Average
tt0804483,Documentary,95.0,2010,Folk!,9,7.7,Good
tt0804497,Comedy,101.0,2010,It's Kind of a Funny Story,125583,7.1,Good
tt0804509,Comedy,100.0,2013,The Mule,653,6.2,Average
tt0805617,Action,95.0,2011,Spoon,108,6.6,Average
tt0808245,Documentary,60.0,2010,A Letter to Elia,799,7.6,Good
tt0808447,Documentary,200.0,2013,The Last Pogo Jumps Again,42,9.3,Good
tt0808510,Comedy,101.0,2010,Tooth Fairy,37939,5.0,Average
tt0810772,Drama,104.0,2012,Belle du Seigneur,1125,5.3,Average
tt0810815,Action,87.0,2010,Cross the Line,39,3.9,Bad
tt0810819,Biography,119.0,2015,The Danish Girl,146873,7.1,Good
tt0810856,Documentary,150.0,2011,Eyes of the Mothman,293,6.3,Average
tt0810913,Comedy,91.0,2011,Jack and Jill,71361,3.3,Bad
tt0810922,Comedy,97.0,2011,Take Me Home Tonight,48393,6.3,Average
tt0811021,Adventure,80.0,2010,Plumíferos - Aventuras voladoras,165,4.0,Bad
tt0811069,Drama,90.0,2011,Lavoe,65,7.4,Good
tt0811137,Comedy,76.0,2012,The Do-Deca-Pentathlon,1627,6.0,Average
tt0811613,Drama,95.0,2013,Meridian Lines,84,6.8,Average
tt0813992,Adventure,100.0,2010,American Flyer,85,6.4,Average
tt0814255,Adventure,118.0,2010,Percy Jackson & the Olympians: The Lightning Thief,165108,5.9,Average
tt0815101,Drama,77.0,2010,Ashes,68,7.1,Good
tt0815236,Comedy,104.0,2010,She's Out of My League,117245,6.4,Average
tt0816362,Documentary,87.0,2010,Card Subject to Change,223,6.7,Average
tt0816442,Drama,131.0,2013,The Book Thief,119023,7.6,Good
tt0816462,Action,113.0,2011,Conan the Barbarian,90834,5.2,Average
tt0816648,Drama,110.0,2011,Shanghai Hotel,36,6.3,Average
tt0816692,Adventure,169.0,2014,Interstellar,1299334,8.6,Good
tt0816711,Action,116.0,2013,World War Z,553751,7.0,Average
tt0817177,Comedy,90.0,2010,Flipped,74937,7.7,Good
tt0817230,Comedy,125.0,2010,Valentine's Day,107171,5.7,Average
tt0817545,Action,96.0,2013,The Power of Few,3322,5.2,Average
tt0818098,Thriller,110.0,2010,Dreamkiller,105,4.9,Average
tt0818172,Drama,95.0,2010,Soupernatural,27,6.7,Average
tt0821486,Comedy,99.0,2016,Manhattan Minutiae,19,5.6,Average
tt0822847,Action,87.0,2011,Priest,108320,5.7,Average
tt0825282,Drama,105.0,2011,The Long Falling,121,6.5,Average
tt0825283,Action,88.0,2016,Maximum Ride,3913,3.7,Bad
tt0825334,Comedy,90.0,2018,Caravaggio and My Mother the Pope,51,8.9,Good
tt0826532,Comedy,79.0,2010,Return to Yucca Flats: Desert Man-Beast,21,5.8,Average
tt0826823,Adventure,95.0,2010,Magic,94,3.2,Bad
tt0828135,Documentary,82.0,2012,Wild in the Streets,37,8.3,Good
tt0829150,Action,92.0,2014,Dracula Untold,164829,6.3,Average
tt0829176,Action,90.0,2012,Gallowwalkers,6793,3.6,Bad
tt0831280,Drama,89.0,2010,Waking Madison,1317,6.0,Average
tt0831387,Action,123.0,2014,Godzilla,350687,6.4,Average
tt0831881,Documentary,76.0,2010,Land,33,7.4,Good
tt0835418,Comedy,95.0,2012,The Babymakers,8147,5.0,Average
tt0835775,Action,95.0,2014,Electric Slide,701,4.6,Average
tt0835802,Comedy,90.0,2017,Krystal,846,5.3,Average
tt0837156,Adventure,90.0,2016,Pee-wee's Big Holiday,6362,6.2,Average
tt0837559,Crime,86.0,2013,Approaching Midnight,239,5.0,Average
tt0837562,Animation,91.0,2012,Hotel Transylvania,204571,7.1,Good
tt0837563,Horror,101.0,2019,Pet Sematary,34472,6.0,Average
tt0838194,Comedy,95.0,2016,Retreat!,12,7.9,Good
tt0839742,Drama,96.0,2014,Bhopal: A Prayer for Rain,1830,7.3,Good
tt0840358,Documentary,107.0,2010,Everyday Sunshine: The Story of Fishbone,321,7.6,Good
tt0840361,Crime,125.0,2010,The Town,322524,7.6,Good
tt0840789,Western,95.0,2010,Río de oro,70,6.1,Average
tt0841185,Comedy,94.0,2012,Whatever Happened to Pete Blaggit?,50,6.6,Average
tt0842926,Comedy,106.0,2010,The Kids Are All Right,120656,7.0,Average
tt0843839,Drama,60.0,2013,The Fallen Word,35,7.4,Good
tt0844699,Documentary,67.0,2016,Ivan Mosjoukine ou L'enfant du carnaval,5,9.0,Good
tt0844866,Adventure,94.0,2010,Killer by Nature,257,3.9,Bad
tt0844915,Comedy,100.0,2011,Pox,56,7.5,Good
tt0844993,Animation,86.0,2011,Hoodwinked Too! Hood vs. Evil,11281,4.8,Average
tt0846004,Action,95.0,2010,Gangster Exchange,436,4.6,Average
tt0847180,Action,110.0,2011,Loot,278,3.6,Bad
tt0847215,Horror,88.0,2010,Neowolf,418,2.3,Bad
tt0847505,Adventure,95.0,2013,Night Traveler,11,8.2,Good
tt0847735,Comedy,95.0,2010,Fun in the Army,15,4.5,Average
tt0847825,Sci-Fi,93.0,2011,The Speed of Thought,1503,4.8,Average
tt0848228,Action,143.0,2012,The Avengers,1183655,8.1,Good
